feature,shap_importance
Score_Source_3_Available,0.061059523
Score_Source_3,0.039731316
Score_Source_2_Available,0.03665679
Score_Source_2,0.034655027
Client_Education,0.031534433
Loan_Contract_Type_RL,0.024773443
Client_Gender_Male,0.021207474
Score_Source_1,0.02084901
Min_External_Score,0.020665543
Car_Owned,0.02046611
Credit_Annuity_Ratio,0.018825544
Employment_Years,0.01753323
Cleint_City_Rating,0.0170815
Score_Source_1_Available,0.016195508
Age_Years,0.015849635
Client_Marital_Status_M,0.015521846
Type_Organization,0.015326275
Num_Credit_Scores_Available,0.015206364
Monthly_Payment_Burden,0.014817924
Loan_Annuity,0.014735922
Client_Occupation,0.014396813
Credit_Amount,0.014352012
Phone_Change,0.014349342
Social_Circle_Default,0.014179254
ID_Days,0.013780994
Annuity_Income_Ratio,0.013593824
Credit_Bureau,0.013102382
Credit_Income_Ratio,0.013083838
Own_House_Age,0.013042186
Registration_Days,0.012946105
Bike_Owned,0.012788715
Has_House_Age_Info,0.012704234
Client_Income,0.012653588
Homephone_Tag,0.012308381
Client_Permanent_Match_Tag,0.012290765
Total_Assets_Owned,0.012213319
Accompany_Client_Alone,0.012174933
Client_Income_Type,0.0121674165
Client_Contact_Work_Tag,0.012152125
Occupation_Disclosed,0.012120634
Client_Housing_Type_Municipal,0.012116199
Active_Loan,0.012017234
Population_Region_Relative,0.012000024
Client_Housing_Type_Home,0.011929041
Application_Process_Hour,0.011916805
Workphone_Working,0.011887954
Client_Housing_Type_Shared,0.011870144
Client_Housing_Type_Office,0.011861961
Accompany_Client_Kids,0.011792577
Accompany_Client_Relative,0.0117804995
Social_Circle_Data_Available,0.011737509
Client_Family_Members,0.011722247
Application_Process_Day,0.011534352
Child_Count,0.011473003
Has_Credit_Bureau_Record,0.011159046
Client_Marital_Status_W,0.011023032
House_Own,0.010945551
Client_Marital_Status_S,0.010898321
Client_Housing_Type_Family,0.010695644
Client_Marital_Status_D,0.0102290455
Accompany_Client_Partner,0.010042342
Accompany_Client_Others,0.0100095505
Client_Housing_Type_Rental,0.009044589
Accompany_Client_Group,0.0072200224
Mobile_Tag,0.0
Has_Employment_History,0.0
Is_Unemployed,0.0
